Asset,coupon,exp_loss,attachment,exhaustion
US_Hurricane_FL_001,0.0949816047538945,0.04401428612819833,0.0346398788362281,0.15986584841970367
US_Hurricane_FL_002,0.08624074561769746,0.028119890406724055,0.021161672243363988,0.18661761457749354
US_Hurricane_FL_003,0.10404460046972835,0.039161451555920906,0.02041168988591605,0.19699098521619945
US_Hurricane_FL_004,0.11329770563201687,0.029246782213565525,0.023636499344142012,0.11834045098534339
US_Hurricane_FL_005,0.0921696897183815,0.03549512863264476,0.028638900372842314,0.1291229140198042
US_Hurricane_FL_006,0.10447411578889518,0.02778987721304084,0.025842892970704363,0.1366361843293692
US_Hurricane_FL_007,0.09824279936868144,0.040703519227860266,0.023993475643167193,0.15142344384136117
US_Hurricane_FL_008,0.1036965827544817,0.025929008254399956,0.03215089703802877,0.11705241236872915
US_Hurricane_FL_009,0.08260206371941119,0.043977710745066664,0.03931264066149119,0.1808397348116461
US_Hurricane_FL_010,0.09218455076693483,0.02695344228012768,0.03368466053024314,0.14401524937396015
US_Hurricane_FL_011,0.08488152939379115,0.0349035382022254,0.02068777042230437,0.1909320402078782
US_Hurricane_FL_012,0.09035119926400068,0.03825044568707964,0.02623422152178822,0.1520068021177811
US_Hurricane_FL_013,0.10186841117373119,0.02869708911051054,0.03939169255529117,0.17751328233611147
US_Hurricane_FL_014,0.11757995766256757,0.04289654700855297,0.0319579995762217,0.1921874235023117
US_Hurricane_FL_015,0.08353970008207678,0.028919657248382906,0.020904545778210763,0.13253303307632644
US_Hurricane_FL_016,0.09554709158757928,0.03042698063547792,0.03657475018303859,0.13567533266935894
US_Hurricane_FL_017,0.09123738038749524,0.03585392166316497,0.022818484499495254,0.18021969807540397
US_Hurricane_FL_018,0.08298202574719084,0.04473773873201034,0.03544489538593315,0.11987156815341725
US_Hurricane_FL_019,0.0802208846849441,0.04130922856909668,0.034137146876952344,0.17290071680409874
US_Hurricane_FL_020,0.11085081386743782,0.026480893034681808,0.027169314570885453,0.11158690595251297
US_Hurricane_FL_021,0.11452413703502373,0.037465962536551156,0.026617960497052985,0.10635583502860237
US_Hurricane_FL_022,0.09243929286862648,0.03150366644053494,0.03459212356676128,0.16375574713552132
US_Hurricane_FL_023,0.11548850970305305,0.03444429850323898,0.022391884918766036,0.1713244787222995
US_Hurricane_FL_024,0.11043140194467589,0.036225543951389924,0.03541934359909122,0.1493795596364391
US_Hurricane_FL_025,0.10090931317527976,0.03355082036717099,0.020508382534881905,0.11078914269933045
US_Hurricane_TX_001,0.07094287557060204,0.029546156168956707,0.024715339716144903,0.11559994838152919
US_Hurricane_TX_002,0.0972269942177828,0.023739383437233124,0.026155743845534447,0.1328885796980134
US_Hurricane_TX_003,0.07686394496474869,0.021154698647431896,0.02434627179370652,0.09128549010778031
US_Hurricane_TX_004,0.0978909295702772,0.03212180569346626,0.029501056347656353,0.14100224131314024
US_Hurricane_TX_005,0.09411016230697344,0.02279855088329054,0.03338838497734967,0.11775395693409554
US_Hurricane_TX_006,0.09422320465492189,0.0334413694988524,0.02477005212457796,0.08770363471693737
US_Hurricane_TX_007,0.07683805487625826,0.026406616829393846,0.0322702214888374,0.14025114082794404
